市場,代號,公司簡稱,公告日期,異動情形,新任者,舊任者,生效日期,異動原因,公告來源
上市,6205,詮欣,99/12/31,職務調整,潘麗鈴,黃雪昭,100/01/01,關係企業內部調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6205"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,4979,華星光,99/12/31,辭職,歐熏卿,劉淑娟,99/12/31,職涯規劃,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4979"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,4743,合一,99/12/31,新任,林姿菁,陳美宏,99/12/31,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4743"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,4530,宏易,99/12/31,新任,林佩青,曹美玉,99/12/31,通過董事會任命案,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4530"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
公開發行,4145,KY繁葵,99/12/31,辭職,不適用,施麗芬,99/12/31,原內部稽核主管因個人生涯規劃離職。,"{""KIND"": ""X"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4145"", ""TYPEK"": ""pub"", ""year"": ""2010""}"
上櫃,4114,健喬,99/12/31,辭職,遺缺待補,張淑貞,100/01/01,轉任轉投資公司,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4114"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,8034,榮群,99/12/30,職務調整,遺缺待補,羅旭菱,100/02/08,原任稽核主管因個人生涯規劃辦理留職停薪,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8034"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上櫃,6240,松崗,99/12/30,新任,藍文伶,謝麗華,99/11/22,舊任離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6240"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,3092,鴻碩,99/12/30,新任,蔡秋月,徐國晃,99/12/30,經本公司99/12/30董事會決議通過新聘任。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3092"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,2724,藝舍-KY,99/12/30,職務調整,許茹宜,侯嘉禎,100/01/01,內部職位調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2724"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
上市,2723,美食-KY,99/12/30,職務調整,張慈文,周皓勳,100/01/01,本公司稽核主管周皓勳協理調任中國區財務主管，故經董事會決議通過張慈文女士為新任稽核主管之任命案。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2723"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上市,2444,兆勁,99/12/30,新任,楊竣智,蘇德威,99/12/30,原任稽核主管於99/3/4辭職，經99/12/30董事會通過新任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2444"", ""TYPEK"": ""sii"", ""year"": ""2010""}"
上櫃,8289,泰藝,99/12/29,職務調整,黃國軒,翁溢瓏,99/12/29,舊任者翁溢瓏主任因公司內部職務調整調任至財會部,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8289"", ""TYPEK"": ""otc"", ""year"": ""2010""}"
